Statistic Label,Month,Main Reason for Travel,UNIT,VALUE
Number of Overnight Trips by Foreign Visitors,2023 December,Other reason for journey,Thousand,1931
Number of Overnight Trips by Foreign Visitors,2023 December,All reasons for journey,Thousand,4504.3
Number of Overnight Trips by Foreign Visitors,2024 January,Business,Thousand,267.7
Number of Overnight Trips by Foreign Visitors,2024 January,Holiday/leisure/recreation,Thousand,910.4
Number of Overnight Trips by Foreign Visitors,2024 January,Visit to friends/relatives,Thousand,2205.5
Number of Overnight Trips by Foreign Visitors,2024 January,Other reason for journey,Thousand,430.2
Number of Overnight Trips by Foreign Visitors,2024 January,All reasons for journey,Thousand,3813.8
Number of Overnight Trips by Foreign Visitors,2024 February,Business,Thousand,407.3
Number of Overnight Trips by Foreign Visitors,2024 February,Holiday/leisure/recreation,Thousand,759.3
Number of Overnight Trips by Foreign Visitors,2024 February,Visit to friends/relatives,Thousand,1051.2
Number of Overnight Trips by Foreign Visitors,2024 February,Other reason for journey,Thousand,451.2
Number of Overnight Trips by Foreign Visitors,2024 February,All reasons for journey,Thousand,2669
Number of Overnight Trips by Foreign Visitors,2024 March,Business,Thousand,363.3
Number of Overnight Trips by Foreign Visitors,2024 March,Holiday/leisure/recreation,Thousand,1194.7
Number of Overnight Trips by Foreign Visitors,2024 March,Visit to friends/relatives,Thousand,997.4
Number of Overnight Trips by Foreign Visitors,2024 March,Other reason for journey,Thousand,554.5
Number of Overnight Trips by Foreign Visitors,2024 March,All reasons for journey,Thousand,3109.8
Number of Overnight Trips by Foreign Visitors,2024 April,Business,Thousand,453.9
Number of Overnight Trips by Foreign Visitors,2024 April,Holiday/leisure/recreation,Thousand,1287.8
Number of Overnight Trips by Foreign Visitors,2024 April,Visit to friends/relatives,Thousand,1354.7
Number of Overnight Trips by Foreign Visitors,2024 April,Other reason for journey,Thousand,391.9
Number of Overnight Trips by Foreign Visitors,2024 April,All reasons for journey,Thousand,3488.3
Number of Overnight Trips by Foreign Visitors,2024 May,Business,Thousand,473.9
Number of Overnight Trips by Foreign Visitors,2024 May,Holiday/leisure/recreation,Thousand,1759.2
Number of Overnight Trips by Foreign Visitors,2024 May,Visit to friends/relatives,Thousand,1266.6
Number of Overnight Trips by Foreign Visitors,2024 May,Other reason for journey,Thousand,962.4
Number of Overnight Trips by Foreign Visitors,2024 May,All reasons for journey,Thousand,4462.1
