"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","675"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","442"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","623"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.3"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","624"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","886"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","486"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1172"
